time,pair,type,price,amount,total,coin,quote,date,market_close,label_pump,n_exchanges,quote_close_usd,price_usd_equivalent,conversion_status,premium_pct
2022-04-14 15:19:26,WAVES/USD,SELL,23.8,1.03017877,24.51825472,WAVES,USD,2022-04-14,21.230150000000002,0.0,2.0,,23.8,native_usd,12.10471899633303
2022-04-15 21:21:12,WAVES/USD,SELL,23.17337336,0.36909967,8.55328445,WAVES,USD,2022-04-15,22.1687,0.0,2.0,,23.17337336,native_usd,4.531945310279806
2022-04-15 21:21:12,WAVES/USD,SELL,23.17337336,0.37780304,8.7549709,WAVES,USD,2022-04-15,22.1687,0.0,2.0,,23.17337336,native_usd,4.531945310279806
2022-04-15 21:21:20,WAVES/USD,SELL,23.17337336,0.16067739,3.72343714,WAVES,USD,2022-04-15,22.1687,0.0,2.0,,23.17337336,native_usd,4.531945310279806
2022-04-15 21:21:24,WAVES/USD,SELL,23.17337336,0.37780304,8.7549709,WAVES,USD,2022-04-15,22.1687,0.0,2.0,,23.17337336,native_usd,4.531945310279806
2022-04-16 02:04:47,WAVES/USD,SELL,23.244,0.18447055,4.28783346,WAVES,USD,2022-04-16,21.481,0.0,2.0,,23.244,native_usd,8.207252921186159
2022-04-16 02:05:12,WAVES/USD,SELL,23.244,0.53014631,12.32272082,WAVES,USD,2022-04-16,21.481,0.0,2.0,,23.244,native_usd,8.207252921186159
2022-04-18 06:59:27,WAVES/USD,BUY,20.11,11.1831065,224.89227171,WAVES,USD,2022-04-18,20.46995,0.0,2.0,,20.11,native_usd,-1.7584312614344455
2022-04-18 07:32:30,WAVES/USD,BUY,20.11,0.93741354,18.85138628,WAVES,USD,2022-04-18,20.46995,0.0,2.0,,20.11,native_usd,-1.7584312614344455
2022-04-20 07:34:11,WAVES/USD,SELL,22.1,2.0,44.2,WAVES,USD,2022-04-20,20.29765,0.0,2.0,,22.1,native_usd,8.879599362487788
2022-04-20 07:34:11,WAVES/USD,SELL,22.08,2.12052004,46.82108248,WAVES,USD,2022-04-20,20.29765,0.0,2.0,,22.08,native_usd,8.781065788404074
2022-04-20 07:43:50,WAVES/USD,SELL,22.12,0.04492562,0.99375471,WAVES,USD,2022-04-20,20.29765,0.0,2.0,,22.12,native_usd,8.97813293657148
2022-04-20 08:44:44,WAVES/USD,SELL,22.12,0.95507438,21.12624528,WAVES,USD,2022-04-20,20.29765,0.0,2.0,,22.12,native_usd,8.97813293657148
