time,pair,type,price,amount,total,coin,quote,date,market_close,label_pump,n_exchanges,premium_pct
2017-01-25 20:13:02,IBANK/BTC,SELL,2.38e-06,41.84518828,9.959e-05,IBANK,BTC,2017-01-25,,0.0,,
2017-01-25 20:13:00,IBANK/BTC,SELL,2.38e-06,41.84518828,9.959e-05,IBANK,BTC,2017-01-25,,0.0,,
2017-01-25 20:12:59,IBANK/BTC,SELL,2.38e-06,41.84518828,9.959e-05,IBANK,BTC,2017-01-25,,0.0,,
2017-01-25 20:12:35,IBANK/BTC,BUY,2.3e-06,4012.39217217,0.0092285,IBANK,BTC,2017-01-25,,0.0,,
2017-01-25 20:11:49,IBANK/BTC,BUY,2.23e-06,10.71221075,2.388e-05,IBANK,BTC,2017-01-25,,0.0,,
2017-01-25 19:16:28,IBANK/BTC,SELL,1.97e-06,15.86683588,3.125e-05,IBANK,BTC,2017-01-25,,0.0,,
2017-01-25 19:00:20,IBANK/BTC,SELL,1.97e-06,50.76649746,0.0001,IBANK,BTC,2017-01-25,,0.0,,
2017-01-25 18:41:14,IBANK/BTC,BUY,1.59e-06,66.63333334,0.00010594,IBANK,BTC,2017-01-25,,0.0,,
2017-01-25 18:34:36,AV/BTC,SELL,4.47e-06,0.19102794,8.5e-07,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:34:36,AV/BTC,SELL,4.47e-06,1.0,4.47e-06,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:34:36,AV/BTC,SELL,4.47e-06,0.0025,1e-08,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:34:34,AV/BTC,SELL,4.47e-06,0.0025,1e-08,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:34:34,AV/BTC,SELL,4.47e-06,1.0,4.47e-06,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:34:33,AV/BTC,SELL,4.47e-06,0.0025,1e-08,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:34:33,AV/BTC,SELL,4.47e-06,1.0,4.47e-06,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:34:32,AV/BTC,SELL,4.47e-06,0.0025,1e-08,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:34:32,AV/BTC,SELL,4.47e-06,1.0,4.47e-06,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:34:31,AV/BTC,SELL,4.47e-06,0.0025,1e-08,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:34:31,AV/BTC,SELL,4.47e-06,1.0,4.47e-06,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:34:29,AV/BTC,SELL,4.47e-06,0.0025,1e-08,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:34:29,AV/BTC,SELL,4.47e-06,1.0,4.47e-06,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:34:28,AV/BTC,SELL,4.47e-06,1.0,4.47e-06,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:34:27,AV/BTC,SELL,4.47e-06,1.0,4.47e-06,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:34:27,AV/BTC,SELL,4.47e-06,0.0025,1e-08,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:34:26,AV/BTC,SELL,4.47e-06,0.0025,1e-08,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:34:25,AV/BTC,SELL,4.47e-06,1.0,4.47e-06,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:34:25,AV/BTC,SELL,4.47e-06,0.0025,1e-08,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:34:24,AV/BTC,SELL,4.47e-06,0.0025,1e-08,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:34:23,AV/BTC,SELL,4.47e-06,0.0025,1e-08,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:34:22,AV/BTC,SELL,4.47e-06,0.0025,1e-08,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:34:21,AV/BTC,SELL,4.47e-06,0.0025,1e-08,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:34:20,AV/BTC,SELL,4.47e-06,0.0025,1e-08,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:34:19,AV/BTC,SELL,4.47e-06,0.0025,1e-08,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:34:17,AV/BTC,SELL,4.47e-06,0.0025,1e-08,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:34:16,AV/BTC,SELL,4.47e-06,0.0025,1e-08,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:34:15,AV/BTC,SELL,4.47e-06,0.0025,1e-08,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:34:14,AV/BTC,SELL,4.47e-06,0.0025,1e-08,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:34:13,AV/BTC,SELL,4.47e-06,0.0025,1e-08,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:34:12,AV/BTC,SELL,4.47e-06,0.0025,1e-08,AV,BTC,2017-01-25,,0.0,,
